City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Veraval,90,FR,1578442366,93,49.65,0.71,54,11.41
Aswan,0,EG,1578442275,54,24.09,32.9,48.65,11.1
Severnoye,91,RU,1578442366,96,54.09,52.54,13.33,3.38
Mao,40,DO,1578442367,78,19.55,-71.08,78.8,9.17
Kangaatsiaq,100,GL,1578442367,99,68.31,-53.46,-1.37,18.41
Mayachnyy,100,RU,1578442367,96,52.68,55.69,20.61,4.83
La Crosse,1,US,1578442070,68,43.8,-91.24,28.99,12.75
Tottori,40,JP,1578442368,59,35.5,134.23,60.8,8.05
Lebu,87,ET,1578442297,90,8.96,38.73,52.21,1.99
Mayna,96,RU,1578442368,82,53,91.49,11.61,2.42
La Paz,20,MX,1578442368,46,24.15,-110.32,71.6,11.41
Cheyenne,1,US,1578442369,35,41.14,-104.82,46.99,20.8
Vestmanna,100,FO,1578442369,64,62.16,-7.17,37.4,38.03
Changping,19,CN,1578442369,53,40.22,116.23,32,8.95
Zaysan,92,KZ,1578442369,76,47.47,84.87,1.69,1.54
Siwana,22,IN,1578442370,84,25.65,72.42,54.81,4.88
Launceston,40,AU,1578442370,52,-41.43,147.14,72,3.36
Vestmannaeyjar,100,IS,1578442370,62,63.44,-20.27,31.62,49.21
Hirara,20,JP,1578442316,94,24.8,125.28,69.8,1.12
Macamic,90,CA,1578442370,92,48.75,-79,28.4,5.82
Cortez,1,US,1578442203,51,37.35,-108.58,37.99,6.93
Balikpapan,20,ID,1578442371,83,-1.24,116.86,77,5.82
Maltahohe,7,NA,1578442371,39,-24.83,16.98,66.24,5.12
Taoudenni,0,ML,1578442371,18,22.68,-3.98,56.43,13.6
Galle,18,GN,1578442372,71,10.08,-12.83,67.19,2.55
Saquena,0,PE,1578442372,68,-4.67,-73.52,79.47,2.13
Cowra,36,AU,1578442372,43,-33.84,148.69,86,3
Vaitape,13,PF,1578442372,80,-16.52,-151.75,82.17,18.32
Broome,100,GB,1578442296,82,52.47,1.45,57.2,20.8
Baculin,97,PH,1578442373,84,7.45,126.58,75.4,5.03
Clifton,90,US,1578442306,51,40.86,-74.16,41,7.87
Deputatskiy,100,RU,1578442373,93,69.3,139.9,-7.6,3.44
Wenling,0,CN,1578442374,74,28.38,121.38,47.79,19.39
Trelew,11,AR,1578442374,19,-43.25,-65.31,74.97,31.7
Zaozerne,0,UA,1578442374,76,51.37,23.94,27.34,6.67
Longyearbyen,40,NO,1578442375,68,78.22,15.63,30.2,38.03
Whitefish,90,US,1578442102,93,48.41,-114.33,39.99,11.41
Elko,1,US,1578442364,42,40.83,-115.76,44.6,10.29
Neepawa,5,CA,1578442375,64,50.23,-99.46,-4,12.75
Cassilandia,100,BR,1578442376,90,-19.11,-51.73,74.55,3
Tanete,88,ID,1578442376,69,-3.94,119.78,83.95,2.04
Ayni,2,TJ,1578442376,67,39.39,68.54,4.35,7.7
Coquimbo,0,CL,1578442376,68,-29.95,-71.34,66.2,9.17
Huangchuan,75,CN,1578442377,100,24.57,102.46,48.2,8.95
Lahaina,20,US,1578442377,65,20.87,-156.68,80.6,23.04
Manta,0,RO,1578442377,61,45.1,24.1,26.67,0.78
Kaili,99,ID,1578442377,81,-3.46,120.21,67.32,2.44
Matagalpa,40,NI,1578442378,64,12.92,-85.92,69.8,4.7
Pochutla,5,MX,1578442354,48,15.74,-96.47,86,13.27
Buarcos,20,PT,1578442378,93,40.16,-8.88,39.99,3.36
Amurrio,90,ES,1578442379,100,43.05,-3,46.99,3.36
Isla Vista,1,US,1578442379,32,34.41,-119.86,68,5.82
Xochistlahuaca,57,MX,1578442379,66,16.79,-98.24,72.43,3.8
Itoman,75,JP,1578442379,88,26.12,127.67,71.01,26.4
Itaituba,100,BR,1578442379,97,-4.26,-55.99,74.14,2.15
Tierra Colorada,40,MX,1578442380,78,17.17,-99.53,82.4,3.36
Praia da Vitoria,40,PT,1578442315,82,38.73,-27.07,66.2,20.42
Nhulunbuy,75,AU,1578442380,88,-12.18,136.78,82.4,10.29
Joshimath,100,IN,1578442380,99,30.57,79.57,27.25,5.14
Lekoni,82,GA,1578442380,44,-1.58,14.26,80.6,3.2
Ca Mau,67,VN,1578442381,82,9.18,105.15,76.8,6.46
Inhambane,0,MZ,1578442381,82,-23.87,35.38,79.72,10.02
Amalapuram,19,IN,1578442381,93,16.58,82,65.16,2.64
Ballina,100,IE,1578442360,85,54.11,-9.15,46.99,7
Lompoc,75,US,1578442381,82,34.64,-120.46,66.2,13.87
Olga,1,US,1578442382,27,34.11,-118.17,78.8,3.36
Avera,1,US,1578442382,35,33.19,-82.53,57.2,4.7
Talas,94,KG,1578442382,88,42.52,72.24,18.37,4.92
Forestville,90,CA,1578442382,73,48.74,-69.09,19.4,8.05
Luderitz,74,NA,1578442270,93,-26.65,15.16,62.6,6.93
Codrington,35,AU,1578442383,48,-28.95,153.24,84.2,4.7
Bukama,100,CD,1578442383,97,-9.2,25.85,69.78,1.59
Kaiserslautern,90,DE,1578442383,100,49.44,7.77,39,4.7
Pacific Grove,40,US,1578442383,71,36.62,-121.92,60.01,8.05
Faanui,13,PF,1578442348,80,-16.48,-151.75,82.17,18.32
Mokhsogollokh,96,RU,1578442384,95,61.4,128.95,5.11,2.71
Alofi,75,NU,1578442384,78,-19.06,-169.92,78.8,11.41
Pucallpa,75,PE,1578442384,100,-8.38,-74.54,35.6,9.17
Gazli,0,UZ,1578442384,51,40.13,63.45,29.53,7.72
Amguri,49,IN,1578442384,83,26.81,94.53,57.24,4.52
La Sarre,100,CA,1578442385,96,48.8,-79.2,26.55,4.12
Inirida,0,CO,1578442385,69,3.87,-67.92,78.08,2.42
Bonthe,47,SL,1578442385,75,7.53,-12.5,76.84,6.73
Rocha,0,UY,1578442305,52,-34.48,-54.34,61.56,4.63
College,75,US,1578442386,67,64.86,-147.8,-22,1.68
Opuwo,11,NA,1578442310,61,-18.06,13.84,67.73,8.5
Mehamn,75,NO,1578442373,87,71.03,27.85,35.6,13.87
Banda Aceh,80,ID,1578442377,88,5.56,95.32,71.13,6.04
Assiniboia,92,CA,1578442386,89,49.63,-105.99,5.13,6.49
Dungarvan,40,IE,1578442387,87,52.09,-7.62,51.01,9.17
Dembi Dolo,49,ET,1578442387,51,8.53,34.8,72.52,1.88
Parkes,46,AU,1578442102,28,-33.14,148.18,95,1.01
Spisska Bela,0,SK,1578442387,84,49.19,20.46,17.01,1.12
Nalut,0,LY,1578442388,82,31.86,10.98,43.68,0.27
La Maddalena,20,IT,1578442388,93,39.15,9.02,53.6,3.36
Islamkot,1,PK,1578442388,74,24.7,70.18,57.49,12.01
Port Hedland,75,AU,1578442388,88,-20.31,118.58,78.8,25.28
Mareeba,75,AU,1578442389,79,-16.99,145.42,84.2,12.75
Rome,40,IT,1578442200,71,41.89,12.48,44.6,4.7
Port Macquarie,3,AU,1578441925,54,-31.43,152.91,97,8.05
Nizhnyaya Poyma,95,RU,1578442389,94,56.16,97.2,11.97,7.07
Yarensk,100,RU,1578442389,93,62.17,49.09,16.88,7.63
Ormara,1,PK,1578442390,42,25.21,64.64,67.82,26.02
Bria,51,CF,1578442390,36,6.54,21.99,70.34,4.76
Trairi,100,BR,1578442390,83,-3.28,-39.27,75.96,0.83
Nara,75,JP,1578442390,93,34.68,135.8,57.2,1.12
Amahai,100,ID,1578442391,73,-3.31,129,82.13,8.32
Raudeberg,100,NO,1578442391,81,61.99,5.14,50,29.97
Beringovskiy,97,RU,1578442386,98,63.05,179.32,-4.86,7.09
Inuvik,20,CA,1578442391,65,68.36,-133.71,-34.6,4.7
Suntar,100,RU,1578442370,94,62.16,117.65,16.18,6.73
Cape Coast,27,GH,1578442392,81,5.11,-1.24,79.93,11.14
Emerald,40,AU,1578442392,61,-23.53,148.16,84,10.29
Hofn,84,IS,1578442392,58,64.25,-15.21,33.67,47.11
Teahupoo,40,PF,1578442393,66,-17.83,-149.27,87.8,6.93
Saskylakh,96,RU,1578442393,97,71.97,114.09,-3.55,8.1
Rawson,36,AR,1578442251,36,-43.3,-65.11,72.45,25.05
Manitouwadge,100,CA,1578442393,93,49.12,-85.84,1.38,9.4
Lakes Entrance,100,AU,1578442282,86,-37.88,147.99,68,9.31
Moron,1,HT,1578442367,78,18.56,-74.26,77.25,9.28
Erenhot,0,CN,1578442394,80,43.65,111.97,7.77,3.8
Bud,100,NO,1578442394,76,62.91,6.91,50,9.17
Rorvik,100,NO,1578442394,82,64.86,11.24,44.01,4
Tikhvin,100,RU,1578442395,95,59.64,33.53,35.01,4
Quchan,5,IR,1578442395,69,37.11,58.51,26.64,5.86
Aripuana,24,BR,1578442253,92,-9.17,-60.63,76.68,0.18
Beloha,0,MG,1578442395,88,-25.17,45.06,71.76,8.55
Jalu,7,LY,1578442395,80,29.03,21.55,48.83,9.01
Oro Valley,1,US,1578442396,13,32.39,-110.97,71.6,8.05
Bara,1,NG,1578442396,29,10.41,10.6,67.57,7.72
Tianpeng,15,CN,1578442396,81,28.88,112.34,39.76,9.08
Roald,100,NO,1578442396,76,62.58,6.12,50,29.97
Kurchatov,87,KZ,1578442165,81,50.75,78.54,1.9,3.29
Kodinar,0,IN,1578442397,58,20.79,70.7,63.19,6.51
Paita,40,PE,1578442397,100,-5.09,-81.11,62.6,12.75
Lerwick,85,GB,1578442398,75,60.15,-1.15,46.4,38.03
Myitkyina,22,MM,1578442398,76,25.38,97.4,52.02,3.38
Kavaratti,36,IN,1578442293,73,10.57,72.64,81.93,11.83
Sergeyevka,98,KZ,1578442398,96,53.88,67.42,11.82,0.87
Kenai,1,US,1578442399,76,60.55,-151.26,-0.99,3.36
Araguari,90,BR,1578442399,88,-18.65,-48.19,69.8,10.29
Mayo,90,CA,1578442399,62,63.59,-135.9,-13,6.93
Laguna,90,BZ,1578442399,100,16.17,-88.94,69.8,1.66
Pisco,12,PE,1578442243,30,-13.71,-76.2,71.6,18.34
Cayenne,95,GF,1578442386,83,4.94,-52.33,80.6,4.7
Roman,0,RO,1578442400,100,46.92,26.93,21.2,1.12
Mersing,96,MY,1578442400,82,2.43,103.84,80.62,17.05
Gejiu,0,CN,1578442400,95,23.36,103.16,49.12,5.06
Half Moon Bay,90,US,1578442401,76,37.46,-122.43,57.99,14.99
Harrisonburg,75,US,1578442401,100,38.45,-78.87,36,10.51
Pailon,75,BO,1578442401,94,-17.66,-62.72,73.4,4.7
Leua,89,AO,1578442402,98,-11.65,20.45,63.07,3.29
Orshanka,64,RU,1578442402,97,56.92,47.89,8.85,6.08
Warwick,90,US,1578442306,69,41.7,-71.42,37.99,6.93
Megion,22,RU,1578442402,84,61.04,76.11,-0.4,4.47
Valparaiso,75,US,1578442402,69,41.47,-87.06,37.99,8.05
Ostrovnoy,100,RU,1578442403,96,68.05,39.51,34.56,17.27
Ribeira Grande,20,PT,1578442274,91,38.52,-28.7,60.75,15.57
Eydhafushi,37,MV,1578442403,75,5.1,73.07,82.54,16.69
Umm Kaddadah,0,SD,1578442403,19,13.6,26.69,65.3,14.18
Ouadda,15,CF,1578442404,29,8.07,22.4,69.91,5.64
Ahipara,1,NZ,1578442404,64,-35.17,173.16,73.99,1.01
Bulungu,97,CD,1578442404,93,-4.54,18.6,71.67,1.79
Aklavik,5,CA,1578442381,64,68.22,-135.01,-34.6,3.36
Kalmunai,90,LK,1578442146,79,7.42,81.82,80.76,20.71
Diplo,0,PK,1578442405,79,24.47,69.59,54.88,10.76
Fochville,100,ZA,1578442405,25,-26.49,27.49,66.99,1.01
Konstantinovo,5,BG,1578442405,79,42,25.79,19.4,4.7
Tezu,99,IN,1578442311,59,27.93,96.16,54.46,2.95
Narasannapeta,10,IN,1578442406,78,18.42,84.04,61.86,3.62
Lakhdenpokhya,100,RU,1578442406,89,61.52,30.2,37,9.48
Itarema,89,BR,1578442406,86,-2.92,-39.92,77.14,3.76
Trincomalee,53,LK,1578442407,92,8.58,81.23,72.16,3.15
The Valley,40,AI,1578442407,73,18.22,-63.06,78.8,12.75
Karlstad,100,SE,1578442407,100,59.38,13.5,41,24.16
Zhigansk,100,RU,1578442324,97,66.77,123.37,-4.49,7.07
Makakilo City,75,US,1578442408,51,21.35,-158.09,82.4,11.41
Puerto Escondido,5,MX,1578442408,70,15.86,-97.07,84.2,1.54
Moose Factory,90,CA,1578442408,78,51.26,-80.61,15.8,11.41
Onega,100,RU,1578442408,95,63.91,38.09,35.19,14.12
Pauini,75,BR,1578442409,85,-7.71,-67,78.55,3.74
Bitung,75,ID,1578442409,94,1.44,125.19,75.2,3.36
Sorong,100,ID,1578442409,96,-0.86,131.25,76.84,1.01
Tenenkou,59,ML,1578442409,19,14.46,-4.91,64.67,9.37
Staryy Krym,99,UA,1578442410,95,45.03,35.1,32.56,12.03
Kalabo,52,ZM,1578442410,71,-15,22.67,70.48,6.33
Fort Nelson,20,CA,1578442410,68,58.81,-122.69,-20.2,2.24
Iquitos,0,PE,1578442410,62,-3.75,-73.25,87.8,3.36
Northam,0,AU,1578442411,64,-31.65,116.67,70,11.41
Palu,100,ID,1578442411,91,-0.9,119.87,70.27,1.61
Manturovo,99,RU,1578442411,96,58.33,44.76,17.76,6.8
Kiruna,100,SE,1578442411,88,67.86,20.23,32,19.46
Chifeng,33,CN,1578442412,57,42.27,118.96,15.06,14.54
Filadelfia,97,PY,1578442412,63,-22.35,-60.04,84.85,7.67
Belebey,95,RU,1578442412,97,54.12,54.12,15.6,4.29
Hokitika,84,NZ,1578442315,72,-42.72,170.96,58.35,11.54
Pangnirtung,20,CA,1578442413,43,66.15,-65.72,-31,3.36
Ondjiva,71,AO,1578442413,83,-17.07,15.73,68.79,8.39
Amapa,90,HN,1578442413,88,15.09,-87.97,75.2,2.24
Tautira,40,PF,1578442414,66,-17.73,-149.15,87.8,6.93
Celestun,0,MX,1578442414,68,20.87,-90.4,73.38,20.4
Danilov,90,RU,1578442414,100,58.19,40.17,28.4,4.47
Warri,96,NG,1578442414,78,5.52,5.75,77.04,3.58
Kuito,100,AO,1578442414,98,-12.38,16.94,60.91,5.23
Vila Franca do Campo,20,PT,1578442415,93,37.72,-25.43,64.4,9.17
Iskateley,14,RU,1578442415,96,67.68,53.15,3.18,11.12
Mahibadhoo,93,MV,1578442415,77,3.78,72.97,82.18,13.76
Saint-Pierre,90,FR,1578442415,100,48.95,4.24,46.4,11.41
Cherskiy,0,RU,1578442396,74,68.75,161.3,-19.37,8.99
Kindu,100,CD,1578442416,90,-2.95,25.92,72.18,2.21
Ryotsu,75,JP,1578442416,93,38.08,138.43,44.6,4.7
Gainesville,1,US,1578442165,82,29.65,-82.33,64,5.82
Pimenta Bueno,97,BR,1578442416,93,-11.68,-61.19,76.06,2.06
Octeville,90,FR,1578442417,100,49.63,-1.64,53.6,18.34
Talara,40,PE,1578442336,100,-4.58,-81.27,62.6,12.75
Brownsville,1,US,1578442417,55,25.91,-97.49,66.2,11.41
Bosaso,80,SO,1578442418,73,11.28,49.18,78.4,14.63
Tumut,20,AU,1578442418,38,-35.3,148.22,83.82,6.55
Naryan-Mar,14,RU,1578442418,96,67.67,53.09,3.18,11.12
Sisimiut,100,GL,1578442418,99,66.94,-53.67,-10.39,6.55
Khani,40,GE,1578442418,49,41.96,42.96,48.2,13.87
Havoysund,72,NO,1578442419,59,71,24.66,37.4,25.28
Dudinka,75,RU,1578442419,91,69.41,86.18,3.2,20.13
Chara,40,GR,1578442419,66,39.42,22.43,37.99,6.93
Grabouw,75,ZA,1578442419,100,-34.15,19.01,68,5.82
Tigil,97,RU,1578442419,73,57.8,158.67,8.1,2.91
Nantong,2,CN,1578442420,87,31.98,120.89,39.99,1.99
Markova,20,RU,1578442420,85,52.21,104.21,12.2,4.47
Tamboril,98,BR,1578442420,83,-4.83,-40.32,75.65,7.2
Atar,5,MR,1578442420,15,20.52,-13.05,50.36,9.53
San Quintin,32,PH,1578442420,74,17.54,120.52,72.73,3.76
Bertoua,54,CM,1578442421,42,4.58,13.68,67.46,2.71
Iracoubo,35,GF,1578442421,84,5.48,-53.21,80.56,18.7
Cananeia,100,BR,1578442421,93,-25.01,-47.93,72.52,4.05
Buraydah,0,SA,1578442421,76,26.33,43.97,55.4,16.11
Lovozero,83,RU,1578442422,92,68.01,35.02,30.58,6.29
Marrakesh,0,MA,1578442422,61,31.63,-7.99,48.2,2.24
Nevelsk,74,RU,1578442422,84,46.67,141.86,3.2,3.22
Adeje,96,NG,1578442422,78,5.68,5.76,77.04,3.58
Ipu,100,BR,1578442273,87,-4.32,-40.71,75.43,2.98
Vila Velha,40,BR,1578441926,78,-3.71,-38.6,86,6.93
Madimba,75,CM,1578442423,94,4.42,9.93,80.6,1.14
Iki-Burul,100,RU,1578442423,100,45.82,44.65,30.2,6.71
Severo-Yeniseyskiy,87,RU,1578442424,96,60.37,93.04,5.32,4.05
Ilam,0,IR,1578442371,55,33.64,46.42,35.6,4.7
Steinbach,20,CA,1578442424,64,49.53,-96.69,-0.99,10.29
Flinders,75,AU,1578442424,60,-34.58,150.85,78.01,11.41
Uspenskoye,40,RU,1578442424,100,44.83,41.38,30.2,6.71
Laem Sing,100,TH,1578442425,66,12.48,102.07,80.01,5.59
Nybro,40,SE,1578442425,81,56.75,15.91,42.8,13.87
Oneonta,100,US,1578442349,77,42.45,-75.06,30,1.45
Kenora,100,CA,1578442425,70,49.76,-94.48,-2.2,16.11
Havre-Saint-Pierre,75,CA,1578442425,84,50.23,-63.6,3.2,2.24
Nichinan,20,JP,1578442426,59,31.65,131.31,60.8,18.34
Sorland,100,NO,1578442395,83,67.67,12.69,43.57,32.88
Abashiri,75,JP,1578442426,78,44.01,144.25,17.6,4.7
Manggar,100,ID,1578442426,82,-2.88,108.27,81.16,12.24
Juneau,90,US,1578442391,92,58.3,-134.42,34,10.29
Catuday,0,PH,1578442427,77,16.29,119.81,78.37,10.49
Yining,0,CN,1578442427,87,29.04,114.56,37.08,0.43
Fare,8,PF,1578442409,79,-16.7,-151.02,82.24,19.24
Anadyr,90,RU,1578442427,76,64.73,177.51,-11.2,4.47
Oil City,40,US,1578442428,74,41.43,-79.71,33.8,6.93
Shubarkuduk,96,KZ,1578442428,95,49.15,56.49,13.62,3.51
Touros,40,BR,1578442323,78,-5.2,-35.46,82.4,4.7
Beyneu,100,KZ,1578442429,76,45.32,55.19,28.29,9.55
Finnsnes,97,NO,1578442429,56,69.23,17.98,41,21.92
Ilo,28,PE,1578442430,84,-17.65,-71.34,72.61,5.73
Blenheim,98,NZ,1578442430,71,-41.52,173.96,62.01,1.99
Tokur,98,RU,1578442430,99,53.13,132.9,-9.17,1.54
Sri Aman,98,MY,1578442318,100,1.24,111.46,75.2,1.3
Tambacounda,98,SN,1578442431,17,13.77,-13.67,73.4,6.93
Stokmarknes,100,NO,1578442431,84,68.56,14.91,39.99,5.99
Faya,40,SA,1578442270,87,18.39,42.45,57.2,14.99
Liaozhong,90,CN,1578442431,85,41.51,122.73,15.8,4.47
Fort-Shevchenko,100,KZ,1578442431,65,44.51,50.26,34.25,17
Aanekoski,90,FI,1578442432,93,62.6,25.73,37.4,11.41
